PONOT2017042716270VILLIKKALA                    VILLIKKALA                                            198601011FI1C3Päijät-Häme                   Päijänne-Tavastland           560Orimattila          Orimattila          1
PONOT2017042721930UUSIKARTANO                   UUSIKARTANO                                           198902011FI1C1Varsinais-Suomi               Egentliga Finland             636Pöytyä              Pöytyä              1
PONOT2017042727450HAROLA                        HAROLA                                                198601011FI196Satakunta                     Satakunda                     050Eura                Eura                1
PONOT2017042731641HUMPPILA                      HUMPPILA                                              199507032FI1C2Kanta-Häme                    Egentliga Tavastland          103Humppila            Humppila            1
PONOT2017042753900LAPPEENRANTA                  LAPPEENRANTA                  LPR                     198811011FI1C5Etelä-Karjala                 Södra Karelen                 405Lappeenranta        Villmanstrand       1
PONOT2017042759520SAARI KK                      SAARI KK                                              199011191FI1C5Etelä-Karjala                 Södra Karelen                 580Parikkala           Parikkala           1
PONOT2017042763101KUORTANE                      KUORTANE                                              199609202FI194Etelä-Pohjanmaa               Södra Österbotten             300Kuortane            Kuortane            1
PONOT2017042772310NIINIVESI                     NIINIVESI                                             198805011FI1D2Pohjois-Savo                  Norra Savolax                 921Vesanto             Vesanto             1
PONOT2017042777480SAVUNIEMI                     SAVUNIEMI                                             198806281FI1D1Etelä-Savo                    Södra Savolax                 171Joroinen            Jorois              1
PONOT2017042782220NIITTYLAHTI                   NIITTYLAHTI                                           198802011FI1D3Pohjois-Karjala               Norra Karelen                 167Joensuu             Joensuu             1
PONOT2017042782501KITEE                         KITEE                                                 199604012FI1D3Pohjois-Karjala               Norra Karelen                 260Kitee               Kitee               1
PONOT2017042786550MIELUSKYLÄ                    MIELUSKYLÄ                                            198601011FI1D6Pohjois-Pohjanmaa             Norra Österbotten             071Haapavesi           Haapavesi           1
PONOT2017042792610VORNA                         VORNA                                                 198601011FI1D6Pohjois-Pohjanmaa             Norra Österbotten             791Siikalatva          Siikalatva          1
PONOT2017042705800HYVINKÄÄ                      HYVINKÄÄ                      HVNK                    199702071FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            106Hyvinkää            Hyvinge             1
PONOT2017042712600LÄYLIÄINEN                    LÄYLIÄINEN                                            199605061FI1C2Kanta-Häme                    Egentliga Tavastland          433Loppi               Loppi               1
PONOT2017042716790MANSKIVI                      MANSKIVI                                              198711011FI1C3Päijät-Häme                   Päijänne-Tavastland           098Hollola             Hollola             1
PONOT2017042717440VÄHIMAA                       VÄHIMAA                                               198803211FI1C3Päijät-Häme                   Päijänne-Tavastland           016Asikkala            Asikkala            1
PONOT2017042721230LEMU                          LEMU                                                  199610291FI1C1Varsinais-Suomi               Egentliga Finland             481Masku               Masku               1
PONOT2017042745911VOIKKAA                       VOIKKAA                                               200512162FI1C4Kymenlaakso                   Kymmenedalen                  286Kouvola             Kouvola             1
PONOT2017042760280SEINÄJOKI                     SEINÄJOKI                     SJK                     198601011FI194Etelä-Pohjanmaa               Södra Österbotten             743Seinäjoki           Seinäjoki           1
PONOT2017042761180HAAPALUOMA                    HAAPALUOMA                                            198601011FI194Etelä-Pohjanmaa               Södra Österbotten             743Seinäjoki           Seinäjoki           1
PONOT2017042763450LÖYÄ                          LÖYÄ                                                  198601011FI194Etelä-Pohjanmaa               Södra Österbotten             300Kuortane            Kuortane            1
PONOT2017042766470JUKAJA                        JUKAJA                                                198909011FI195Pohjanmaa                     Österbotten                   399Laihia              Laihela             1
PONOT2017042778210VARKAUS                       VARKAUS                       VRK                     198811011FI1D2Pohjois-Savo                  Norra Savolax                 915Varkaus             Varkaus             1
PONOT2017042779190VALKEAMÄKI                    VALKEAMÄKI                                            198601011FI1D2Pohjois-Savo                  Norra Savolax                 420Leppävirta          Leppävirta          1
PONOT2017042782840PIRTTIAHO                     PIRTTIAHO                                             198601011FI1D3Pohjois-Karjala               Norra Karelen                 167Joensuu             Joensuu             1
PONOT2017042786980VÄLIAHO                       VÄLIAHO                                               198601011FI1D6Pohjois-Pohjanmaa             Norra Österbotten             626Pyhäjärvi           Pyhäjärvi           1
PONOT2017042791210JAKKUKYLÄ                     JAKKUKYLÄ                                             199612311FI1D6Pohjois-Pohjanmaa             Norra Österbotten             564Oulu                Uleåborg            1
PONOT2017042701300VANTAA                        VANDA                                                 199704181FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            092Vantaa              Vanda               2
PONOT2017042703790VIHTIJÄRVI                    VIHTIJÄRVI                                            198804051FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            927Vihti               Vichtis             1
PONOT2017042713210HÄMEENLINNA                   HÄMEENLINNA                   HML                     198810011FI1C2Kanta-Häme                    Egentliga Tavastland          109Hämeenlinna         Tavastehus          1
PONOT2017042725560KOSKI AS                      KOSKI AS                                              200512161FI1C1Varsinais-Suomi               Egentliga Finland             734Salo                Salo                1
PONOT2017042738720VIHTELJÄRVI                   VIHTELJÄRVI                                           199610301FI196Satakunta                     Satakunda                     214Kankaanpää          Kankaanpää          1
PONOT2017042741900PETÄJÄVESI                    PETÄJÄVESI                                            198811011FI193Keski-Suomi                   Mellersta Finland             592Petäjävesi          Petäjävesi          1
PONOT2017042742600MULTIA                        MULTIA                                                198811011FI193Keski-Suomi                   Mellersta Finland             495Multia              Multia              1
PONOT2017042746900INKEROINEN                    INKEROINEN                                            200907011FI1C4Kymenlaakso                   Kymmenedalen                  286Kouvola             Kouvola             1
PONOT2017042751880KOIKKALA                      KOIKKALA                                              198601011FI1D1Etelä-Savo                    Södra Savolax                 178Juva                Juva                1
PONOT2017042752360SOMEENJÄRVI                   SOMEENJÄRVI                                           198601011FI1D1Etelä-Savo                    Södra Savolax                 491Mikkeli             St Michel           1
PONOT2017042758300SAVONRANTA                    SAVONRANTA                                            199705141FI1D1Etelä-Savo                    Södra Savolax                 740Savonlinna          Nyslott             1
PONOT2017042766710KAITSOR                       KAITSOR                                               198610011FI195Pohjanmaa                     Österbotten                   946Vöyri               Vörå                2
PONOT2017042770870HILTULANLAHTI                 HILTULANLAHTI                 HILTULANLH              198601011FI1D2Pohjois-Savo                  Norra Savolax                 297Kuopio              Kuopio              1
PONOT2017042775501NURMES                        NURMES                                                199511012FI1D3Pohjois-Karjala               Norra Karelen                 541Nurmes              Nurmes              1
PONOT2017042701530VANTAA                        VANDA                                                 198811011FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            092Vantaa              Vanda               2
PONOT2017042701680VANTAA                        VANDA                                                 198811011FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            092Vantaa              Vanda               2
PONOT2017042704301TUUSULA                       TUUSULA                                               200512162FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            858Tuusula             Tusby               1
PONOT2017042710470FISKARI                       FISKARS                                               198810011FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            710Raasepori           Raseborg            2
PONOT2017042729320LEINEPERI                     LEINEPERI                                             199606241FI196Satakunta                     Satakunda                     886Ulvila              Ulvsby              1
PONOT2017042733251TAMPERE                       TAMPERE                                               199508022FI197Pirkanmaa                     Birkaland                     837Tampere             Tammerfors          1
PONOT2017042737470VESILAHTI                     VESILAHTI                                             198811011FI197Pirkanmaa                     Birkaland                     922Vesilahti           Vesilahti           1
PONOT2017042747490MANKALA                       MANKALA                                               198811011FI1C4Kymenlaakso                   Kymmenedalen                  142Iitti               Iitti               1
PONOT2017042751460LUUSNIEMI                     LUUSNIEMI                                             198601011FI1D1Etelä-Savo                    Södra Savolax                 213Kangasniemi         Kangasniemi         1
PONOT2017042766999VAASA                         VASA                          VSA         VSA         198601011FI195Pohjanmaa                     Österbotten                   905Vaasa               Vasa                2
PONOT2017042771460PAUKARLAHTI                   PAUKARLAHTI                                           198601011FI1D2Pohjois-Savo                  Norra Savolax                 420Leppävirta          Leppävirta          1
PONOT2017042771760AHKIONLAHTI                   AHKIONLAHTI                                           198907011FI1D2Pohjois-Savo                  Norra Savolax                 297Kuopio              Kuopio              1
PONOT2017042775990HÖLJÄKKÄ                      HÖLJÄKKÄ                                              198809011FI1D3Pohjois-Karjala               Norra Karelen                 541Nurmes              Nurmes              1
PONOT2017042794900KEMI                          KEMI                          KM                      198601011FI1D7Lappi                         Lappland                      240Kemi                Kemi                1
PONOT2017042797840LEHTINIEMI                    LEHTINIEMI                                            198601011FI1D7Lappi                         Lappland                      614Posio               Posio               1
PONOT2017042770401KUOPIO                        KUOPIO                                                199905062FI1D2Pohjois-Savo                  Norra Savolax                 297Kuopio              Kuopio              1
PONOT2017042704601MÄNTSÄLÄ                      MÄNTSÄLÄ                                              199702032FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            505Mäntsälä            Mäntsälä            1
PONOT2017042729860OTAMO                         OTAMO                                                 198601011FI196Satakunta                     Satakunda                     747Siikainen           Siikainen           1
PONOT2017042737800AKAA                          AKAA                                                  201212281FI197Pirkanmaa                     Birkaland                     020Akaa                Akaa                1
PONOT2017042741231UURAINEN                      UURAINEN                                              199512202FI193Keski-Suomi                   Mellersta Finland             892Uurainen            Uurainen            1
PONOT2017042757710SAVONLINNA                    SAVONLINNA                    SLN                     199803091FI1D1Etelä-Savo                    Södra Savolax                 740Savonlinna          Nyslott             1
PONOT2017042764701TEUVA                         TEUVA                                                 199701302FI194Etelä-Pohjanmaa               Södra Österbotten             846Teuva               Östermark           1
PONOT2017042765170VAASA                         VASA                          VSA         VSA         199005011FI195Pohjanmaa                     Österbotten                   905Vaasa               Vasa                2
PONOT2017042785150TYPPÖ                         TYPPÖ                                                 198601011FI1D6Pohjois-Pohjanmaa             Norra Österbotten             208Kalajoki            Kalajoki            1
PONOT2017042789540MOISIOVAARA                   MOISIOVAARA                                           199611291FI1D4Kainuu                        Kajanaland                    105Hyrynsalmi          Hyrynsalmi          1
PONOT2017042795300TERVOLA                       TERVOLA                                               198811011FI1D7Lappi                         Lappland                      845Tervola             Tervola             1
PONOT2017042732770HUHTAMO                       HUHTAMO                                               198902011FI196Satakunta                     Satakunda                     102Huittinen           Huittinen           1
PONOT2017042741860TIKKALA                       TIKKALA                                               200906221FI193Keski-Suomi                   Mellersta Finland             179Jyväskylä           Jyväskylä           1
PONOT2017042742440KOSKENPÄÄ                     KOSKENPÄÄ                                             199606031FI193Keski-Suomi                   Mellersta Finland             182Jämsä               Jämsä               1
PONOT2017042746810UMMELJOKI                     UMMELJOKI                                             200907011FI1C4Kymenlaakso                   Kymmenedalen                  286Kouvola             Kouvola             1
PONOT2017042751820HATSOLA                       HATSOLA                                               198601011FI1D1Etelä-Savo                    Södra Savolax                 178Juva                Juva                1
PONOT2017042752320VITSIÄLÄ                      VITSIÄLÄ                                              198601011FI1D1Etelä-Savo                    Södra Savolax                 491Mikkeli             St Michel           1
PONOT2017042758201KERIMÄKI                      KERIMÄKI                                              199602292FI1D1Etelä-Savo                    Södra Savolax                 740Savonlinna          Nyslott             1
PONOT2017042770800KUOPIO                        KUOPIO                        KUO                     198811011FI1D2Pohjois-Savo                  Norra Savolax                 297Kuopio              Kuopio              1
PONOT2017042797370UNARIN-LUUSUA                 UNARIN-LUUSUA                                         198811011FI1D7Lappi                         Lappland                      698Rovaniemi           Rovaniemi           1
PONOT2017042799800IVALO                         IVALO                                                 198601011FI1D7Lappi                         Lappland                      148Inari               Enare               1
PONOT2017042701510VANTAA                        VANDA                                                 198811011FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            092Vantaa              Vanda               2
PONOT2017042701661VANTAA                        VANDA                                                 198811012FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            092Vantaa              Vanda               2
PONOT2017042704260KERAVA                        KERAVA                                                198811011FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            245Kerava              Kervo               1
PONOT2017042724280SALO                          SALO                                                  198910011FI1C1Varsinais-Suomi               Egentliga Finland             734Salo                Salo                1
PONOT2017042729270HORMISTO                      HORMISTO                                              198601011FI196Satakunta                     Satakunda                     531Nakkila             Nakkila             1
PONOT2017042733231TAMPERE                       TAMPERE                                               199611212FI197Pirkanmaa                     Birkaland                     837Tampere             Tammerfors          1
PONOT2017042743100SAARIJÄRVI                    SAARIJÄRVI                                            198811011FI193Keski-Suomi                   Mellersta Finland             729Saarijärvi          Saarijärvi          1
PONOT2017042747440SÄÄSKJÄRVI                    SÄÄSKJÄRVI                                            200309101FI1C4Kymenlaakso                   Kymmenedalen                  142Iitti               Iitti               1
PONOT2017042766950MUNSALA                       MUNSALA                                               199606101FI195Pohjanmaa                     Österbotten                   893Uusikaarlepyy       Nykarleby           2
PONOT2017042771330RÄSÄLÄ                        RÄSÄLÄ                                                199601011FI1D2Pohjois-Savo                  Norra Savolax                 297Kuopio              Kuopio              1
PONOT2017042794800KEMI                          KEMI                          KM                      199601051FI1D7Lappi                         Lappland                      240Kemi                Kemi                1
PONOT2017042797650JUOTAS                        JUOTAS                                                198601011FI1D7Lappi                         Lappland                      698Rovaniemi           Rovaniemi           1
PONOT2017042797810SUORSA                        SUORSA                                                198601011FI1D7Lappi                         Lappland                      614Posio               Posio               1
PONOT2017042799990NUORGAM                       NUORGAM                                               198601011FI1D7Lappi                         Lappland                      890Utsjoki             Utsjoki             1
PONOT2017042715111LAHTI                         LAHTI                                                 199001012FI1C3Päijät-Häme                   Päijänne-Tavastland           398Lahti               Lahtis              1
PONOT2017042725370PERTTELI                      PERTTELI                                              198601011FI1C1Varsinais-Suomi               Egentliga Finland             734Salo                Salo                1
PONOT2017042729811SIIKAINEN                     SIIKAINEN                                             199702102FI196Satakunta                     Satakunda                     747Siikainen           Siikainen           1
PONOT2017042733470YLÖJÄRVI                      YLÖJÄRVI                                              198805061FI197Pirkanmaa                     Birkaland                     980Ylöjärvi            Ylöjärvi            1
PONOT2017042737370VESILAHTI                     VESILAHTI                                             201608021FI197Pirkanmaa                     Birkaland                     922Vesilahti           Vesilahti           1
PONOT2017042737740HAUKILA                       HAUKILA                                               198601011FI197Pirkanmaa                     Birkaland                     908Valkeakoski         Valkeakoski         1
PONOT2017042741210JOKIHAARA                     JOKIHAARA                                             199005011FI193Keski-Suomi                   Mellersta Finland             892Uurainen            Uurainen            1
PONOT2017042757510SAVONLINNA                    SAVONLINNA                    SLN                     198811011FI1D1Etelä-Savo                    Södra Savolax                 740Savonlinna          Nyslott             1
PONOT2017042761950JUONIKYLÄ                     JUONIKYLÄ                                             198601011FI194Etelä-Pohjanmaa               Södra Österbotten             232Kauhajoki           Kauhajoki           1
PONOT2017042764610YLIMARKKU                     ÖVERMARK                                              199601171FI195Pohjanmaa                     Österbotten                   545Närpiö              Närpes              4
PONOT2017042774630HEINÄKYLÄ                     HEINÄKYLÄ                                             199810011FI1D2Pohjois-Savo                  Norra Savolax                 263Kiuruvesi           Kiuruvesi           1
PONOT2017042798101KEMIJÄRVI                     KEMIJÄRVI                                             199509292FI1D7Lappi                         Lappland                      320Kemijärvi           Kemijärvi           1
PONOT2017042708480LOHJA                         LOJO                                                  200609291FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            444Lohja               Lojo                2
PONOT2017042715500LAHTI                         LAHTI                         LH                      198811011FI1C3Päijät-Häme                   Päijänne-Tavastland           398Lahti               Lahtis              1
PONOT2017042720100TURKU                         ÅBO                           TKU                     199709251FI1C1Varsinais-Suomi               Egentliga Finland             853Turku               Åbo                 2
PONOT2017042722930FISKÖ                         FISKÖ                                                 198609261FI200Ahvenanmaa                    Åland                         035Brändö              Brändö              4
PONOT2017042733711TAMPERE                       TAMPERE                                               199508032FI197Pirkanmaa                     Birkaland                     837Tampere             Tammerfors          1
PONOT2017042749401HAMINA                        HAMINA                                                200512162FI1C4Kymenlaakso                   Kymmenedalen                  075Hamina              Fredrikshamn        1
PONOT2017042762240HUHMARKOSKI                   HUHMARKOSKI                                           198807011FI194Etelä-Pohjanmaa               Södra Österbotten             233Kauhava             Kauhava             1
PONOT2017042765410SUNDOM                        SUNDOM                                                199611011FI195Pohjanmaa                     Österbotten                   905Vaasa               Vasa                2
PONOT2017042781290UKKOLA                        UKKOLA                                                198601011FI1D3Pohjois-Karjala               Norra Karelen                 167Joensuu             Joensuu             1
PONOT2017042785540NIVALA                        NIVALA                                                200111051FI1D6Pohjois-Pohjanmaa             Norra Österbotten             535Nivala              Nivala              1
PONOT2017042700033MTV                           MTV                                                   201311053FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            091Helsinki            Helsingfors         2
PONOT2017042700800HELSINKI                      HELSINGFORS                   HKI         HFORS       199706011FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            091Helsinki            Helsingfors         2
PONOT2017042702380ESPOO                         ESBO                                                  198601011FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            049Espoo               Esbo                2
PONOT2017042707230MONNINKYLÄ                    MONNINKYLÄ                                            199611131FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            018Askola              Askola              1
PONOT2017042721720KORPOSTRÖM                    KORPOSTRÖM                                            198610011FI1C1Varsinais-Suomi               Egentliga Finland             445Parainen            Pargas              2
PONOT2017042722150JOMALA                        JOMALA                                                198609261FI200Ahvenanmaa                    Åland                         170Jomala              Jomala              4
PONOT2017042727130EURAJOKI                      EURAJOKI                                              198601011FI196Satakunta                     Satakunda                     051Eurajoki            Euraåminne          1
PONOT2017042731460HIRSJÄRVI                     HIRSJÄRVI                                             198601011FI1C1Varsinais-Suomi               Egentliga Finland             761Somero              Somero              1
PONOT2017042734640MUSTAJÄRVI                    MUSTAJÄRVI                                            198601011FI197Pirkanmaa                     Birkaland                     702Ruovesi             Ruovesi             1
PONOT2017042773350HALUNA                        HALUNA                                                198901011FI1D2Pohjois-Savo                  Norra Savolax                 297Kuopio              Kuopio              1
PONOT2017042792260KOPSA                         KOPSA                                                 198601011FI1D6Pohjois-Pohjanmaa             Norra Österbotten             678Raahe               Brahestad           1
PONOT2017042792810PELSONSUO                     PELSONSUO                                             199612121FI1D4Kainuu                        Kajanaland                    785Vaala               Vaala               1
PONOT2017042795920SAARIPUDAS                    SAARIPUDAS                                            198601011FI1D7Lappi                         Lappland                      273Kolari              Kolari              1
PONOT2017042798960NARUSKA                       NARUSKA                                               198601011FI1D7Lappi                         Lappland                      732Salla               Salla               1
PONOT2017042700102EDUSKUNTA                     RIKSDAGEN                                             198810011FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            091Helsinki            Helsingfors         2
PONOT2017042721101NAANTALI                      NAANTALI                                              199511012FI1C1Varsinais-Suomi               Egentliga Finland             529Naantali            Nådendal            1
PONOT2017042731720URJALANKYLÄ                   URJALANKYLÄ                                           199801021FI197Pirkanmaa                     Birkaland                     887Urjala              Urjala              1
PONOT2017042732140YPÄJÄ AS                      YPÄJÄ AS                                              200512161FI1C2Kanta-Häme                    Egentliga Tavastland          981Ypäjä               Ypäjä               1
PONOT2017042735301ORIVESI                       ORIVESI                                               198811012FI197Pirkanmaa                     Birkaland                     562Orivesi             Orivesi             1
PONOT2017042754120PULP                          PULP                                                  198601011FI1C5Etelä-Karjala                 Södra Karelen                 405Lappeenranta        Villmanstrand       1
PONOT2017042759730UUKUNIEMI                     UUKUNIEMI                                             199701021FI1C5Etelä-Karjala                 Södra Karelen                 580Parikkala           Parikkala           1
