PONOT2017030179700HEINÄVESI                     HEINÄVESI                                             198811011FI131Etelä-Savo                    Södra Savolax                 090Heinävesi           Heinävesi           1
PONOT2017030186240PYHÄNKOSKI                    PYHÄNKOSKI                                            198601011FI1A2Pohjois-Pohjanmaa             Norra Österbotten             483Merijärvi           Merijärvi           1
PONOT2017030197390KIERINKI                      KIERINKI                                              198601011FI1A3Lappi                         Lappland                      758Sodankylä           Sodankylä           1
PONOT2017030100900HELSINKI                      HELSINGFORS                   HKI         HFORS       198810011FI181Uusimaa                       Nyland                        091Helsinki            Helsingfors         2
PONOT2017030102760ESPOO                         ESBO                                                  199608291FI181Uusimaa                       Nyland                        049Espoo               Esbo                2
PONOT2017030107590HUUVARI                       HUUVARI                                               198601011FI181Uusimaa                       Nyland                        018Askola              Askola              1
PONOT2017030113720PAROLA                        PAROLA                                                198810011FI184Kanta-Häme                    Egentliga Tavastland          082Hattula             Hattula             1
PONOT2017030150350NOROLA                        NOROLA                                                198801011FI131Etelä-Savo                    Södra Savolax                 491Mikkeli             St Michel           1
PONOT2017030155700IMATRA                        IMATRA                                                198811011FI187Etelä-Karjala                 Södra Karelen                 153Imatra              Imatra              1
PONOT2017030156800SIMPELE                       SIMPELE                                               199703031FI187Etelä-Karjala                 Södra Karelen                 689Rautjärvi           Rautjärvi           1
PONOT2017030164260KASKINEN                      KASKÖ                                                 199706161FI195Pohjanmaa                     Österbotten                   231Kaskinen            Kaskö               2
PONOT2017030170101KUOPIO                        KUOPIO                                                198903132FI132Pohjois-Savo                  Norra Savolax                 297Kuopio              Kuopio              1
PONOT2017030174250NISSILÄ                       NISSILÄ                                               198601011FI132Pohjois-Savo                  Norra Savolax                 925Vieremä             Vieremä             1
PONOT2017030180130JOENSUU                       JOENSUU                       JS                      199610011FI133Pohjois-Karjala               Norra Karelen                 167Joensuu             Joensuu             1
PONOT2017030103220TERVALAMPI                    TERVALAMPI                                            198804051FI181Uusimaa                       Nyland                        927Vihti               Vichtis             1
PONOT2017030107910VALKO                         VALKOM                                                198811011FI181Uusimaa                       Nyland                        434Loviisa             Lovisa              2
PONOT2017030114610LEPAA                         LEPAA                                                 199904061FI184Kanta-Häme                    Egentliga Tavastland          082Hattula             Hattula             1
PONOT2017030115141LAHTI                         LAHTI                                                 199001012FI185Päijät-Häme                   Päijänne-Tavastland           398Lahti               Lahtis              1
PONOT2017030119650JOUTSA                        JOUTSA                                                198811011FI193Keski-Suomi                   Mellersta Finland             172Joutsa              Joutsa              1
PONOT2017030132560VIRTTAA                       VIRTTAA                                               199706231FI183Varsinais-Suomi               Egentliga Finland             430Loimaa              Loimaa              1
PONOT2017030135750VÄÄRINMAJA                    VÄÄRINMAJA                                            199603011FI192Pirkanmaa                     Birkaland                     702Ruovesi             Ruovesi             1
PONOT2017030139501IKAALINEN                     IKAALINEN                                             199510312FI192Pirkanmaa                     Birkaland                     143Ikaalinen           Ikalis              1
PONOT2017030139965KARVIANKYLÄ                   KARVIANKYLÄ                                           198601011FI191Satakunta                     Satakunda                     230Karvia              Karvia              1
PONOT2017030143520KIMINKI                       KIMINKI                                               198601011FI193Keski-Suomi                   Mellersta Finland             226Karstula            Karstula            1
PONOT2017030148710KOTKA                         KOTKA                                                 200605011FI186Kymenlaakso                   Kymmenedalen                  285Kotka               Kotka               1
PONOT2017030170500KUOPIO                        KUOPIO                        KUO                     198601011FI132Pohjois-Savo                  Norra Savolax                 297Kuopio              Kuopio              1
PONOT2017030174670RAPAKKOJOKI                   RAPAKKOJOKI                                           198601011FI132Pohjois-Savo                  Norra Savolax                 263Kiuruvesi           Kiuruvesi           1
