CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,SHORTNAME,HIERARCHYLEVEL,STARTDATE,ENDDATE
142,6c3cb1bf-9bb9-4b5f-9231-0e639c69e90b,VALID,Iitti,Iitti,Iitti,,,2018-01-01,2018-12-31
143,f37bbeff-a549-432f-bfb2-cec9d2d8d492,VALID,Ikaalinen,Ikalis,Ikaalinen,,,2018-01-01,2018-12-31
145,9d355094-8acd-4f7b-a20d-18565c1c2e92,VALID,Ilmajoki,Ilmajoki,Ilmajoki,,,2018-01-01,2018-12-31
146,7cde2718-d148-4743-8f63-5a974c6a239d,VALID,Ilomantsi,Ilomants,Ilomantsi,,,2018-01-01,2018-12-31
148,c6647b3e-a15d-4bbb-a21e-d0e9490e5377,VALID,Inari,Enare,Inari,,,2018-01-01,2018-12-31
149,72e18e1e-1f4a-45a2-86b6-a216a889d3af,VALID,Inkoo,Ingå,Ingå,,,2018-01-01,2018-12-31
151,f6cae195-b233-45e6-940c-b7098af7cf1c,VALID,Isojoki,Storå,Isojoki,,,2018-01-01,2018-12-31
152,b2e17e31-e6cc-48da-8df8-164b6afbbedf,VALID,Isokyrö,Storkyro,Isokyrö,,,2018-01-01,2018-12-31
153,b464b4b5-a177-4990-9852-1072208cf152,VALID,Imatra,Imatra,Imatra,,,2018-01-01,2018-12-31
165,fb132e2d-9349-4857-964f-968316358b3f,VALID,Janakkala,Janakkala,Janakkala,,,2018-01-01,2018-12-31
167,fe2501b3-1b91-4f97-9804-54ca6ded1928,VALID,Joensuu,Joensuu,Joensuu,,,2018-01-01,2018-12-31
169,4402cf6e-3c3e-435e-bd7e-9eec74a9c8ed,VALID,Jokioinen,Jockis,Jokioinen,,,2018-01-01,2018-12-31
170,de12dcc0-f441-411c-829d-b1fcb2821d67,VALID,Jomala,Jomala,Jomala,,,2018-01-01,2018-12-31
171,d7a966d5-2f2e-4f44-afcc-37aac4423063,VALID,Joroinen,Jorois,Joroinen,,,2018-01-01,2018-12-31
172,b345614a-490b-427b-94d5-7817249f84be,VALID,Joutsa,Joutsa,Joutsa,,,2018-01-01,2018-12-31
176,17d590c2-2363-440d-855f-cf16466333b6,VALID,Juuka,Juuka,Juuka,,,2018-01-01,2018-12-31
