CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DEFINITION_FI,DEFINITION_SV,DEFINITION_EN,DESCRIPTION_FI,DESCRIPTION_SV,DESCRIPTION_EN,SHORTNAME,STARTDATE,ENDDATE
235,,DRAFT,Kauniainen,Grankulla,Kauniainen,,,,,,,,,
236,,DRAFT,Kaustinen,Kaustby,Kaustinen,,,,,,,,,
239,,DRAFT,Keitele,Keitele,Keitele,,,,,,,,,
240,,DRAFT,Kemi,Kemi,Kemi,,,,,,,,,
241,,DRAFT,Keminmaa,Keminmaa,Keminmaa,,,,,,,,,
244,,DRAFT,Kempele,Kempele,Kempele,,,,,,,,,
245,,DRAFT,Kerava,Kervo,Kerava,,,,,,,,,
249,,DRAFT,Keuruu,Keuruu,Keuruu,,,,,,,,,
250,,DRAFT,Kihniö,Kihniö,Kihniö,,,,,,,,,
256,,DRAFT,Kinnula,Kinnula,Kinnula,,,,,,,,,
257,,DRAFT,Kirkkonummi,Kyrkslätt,Kirkkonummi,,,,,,,,,
260,,DRAFT,Kitee,Kitee,Kitee,,,,,,,,,
261,,DRAFT,Kittilä,Kittilä,Kittilä,,,,,,,,,
263,,DRAFT,Kiuruvesi,Kiuruvesi,Kiuruvesi,,,,,,,,,
265,,DRAFT,Kivijärvi,Kivijärvi,Kivijärvi,,,,,,,,,
271,,DRAFT,Kokemäki,Kumo,Kokemäki,,,,,,,,,
272,,DRAFT,Kokkola,Karleby,Kokkola,,,,,,,,,
273,,DRAFT,Kolari,Kolari,Kolari,,,,,,,,,
275,,DRAFT,Konnevesi,Konnevesi,Konnevesi,,,,,,,,,
276,,DRAFT,Kontiolahti,Kontiolahti,Kontiolahti,,,,,,,,,
280,,DRAFT,Korsnäs,Korsnäs,Korsnäs,,,,,,,,,
284,,DRAFT,Koski Tl,Koski Åbo l,Koski Tl,,,,,,,,,
285,,DRAFT,Kotka,Kotka,Kotka,,,,,,,,,
286,,DRAFT,Kouvola,Kouvola,Kouvola,,,,,,,,,
287,,DRAFT,Kristiinankaupunki,Kristinestad,Kristinestad,,,,,,,,,
288,,DRAFT,Kruunupyy,Kronoby,Kronoby,,,,,,,,,
290,,DRAFT,Kuhmo,Kuhmo,Kuhmo,,,,,,,,,
291,,DRAFT,Kuhmoinen,Kuhmoinen,Kuhmoinen,,,,,,,,,
295,,DRAFT,Kumlinge,Kumlinge,Kumlinge,,,,,,,,,
297,,DRAFT,Kuopio,Kuopio,Kuopio,,,,,,,,,
300,,DRAFT,Kuortane,Kuortane,Kuortane,,,,,,,,,
301,,DRAFT,Kurikka,Kurikka,Kurikka,,,,,,,,,
304,,DRAFT,Kustavi,Gustavs,Kustavi,,,,,,,,,
305,,DRAFT,Kuusamo,Kuusamo,Kuusamo,,,,,,,,,
309,,DRAFT,Outokumpu,Outokumpu,Outokumpu,,,,,,,,,
312,,DRAFT,Kyyjärvi,Kyyjärvi,Kyyjärvi,,,,,,,,,
316,,DRAFT,Kärkölä,Kärkölä,Kärkölä,,,,,,,,,
317,,DRAFT,Kärsämäki,Kärsämäki,Kärsämäki,,,,,,,,,
318,,DRAFT,Kökar,Kökar,Kökar,,,,,,,,,
320,,DRAFT,Kemijärvi,Kemijärvi,Kemijärvi,,,,,,,,,
322,,DRAFT,Kemiönsaari,Kimitoön,Kimitoön,,,,,,,,,
398,,DRAFT,Lahti,Lahtis,Lahti,,,,,,,,,
399,,DRAFT,Laihia,Laihela,Laihia,,,,,,,,,
400,,DRAFT,Laitila,Laitila,Laitila,,,,,,,,,
402,,DRAFT,Lapinlahti,Lapinlahti,Lapinlahti,,,,,,,,,
403,,DRAFT,Lappajärvi,Lappajärvi,Lappajärvi,,,,,,,,,
405,,DRAFT,Lappeenranta,Villmanstrand,Lappeenranta,,,,,,,,,
407,,DRAFT,Lapinjärvi,Lappträsk,Lapinjärvi,,,,,,,,,
408,,DRAFT,Lapua,Lappo,Lapua,,,,,,,,,
410,,DRAFT,Laukaa,Laukaa,Laukaa,,,,,,,,,
416,,DRAFT,Lemi,Lemi,Lemi,,,,,,,,,
417,,DRAFT,Lemland,Lemland,Lemland,,,,,,,,,
418,,DRAFT,Lempäälä,Lempäälä,Lempäälä,,,,,,,,,
420,,DRAFT,Leppävirta,Leppävirta,Leppävirta,,,,,,,,,
421,,DRAFT,Lestijärvi,Lestijärvi,Lestijärvi,,,,,,,,,
422,,DRAFT,Lieksa,Lieksa,Lieksa,,,,,,,,,
423,,DRAFT,Lieto,Lundo,Lieto,,,,,,,,,
425,,DRAFT,Liminka,Limingo,Liminka,,,,,,,,,
426,,DRAFT,Liperi,Liperi,Liperi,,,,,,,,,
430,,DRAFT,Loimaa,Loimaa,Loimaa,,,,,,,,,
433,,DRAFT,Loppi,Loppi,Loppi,,,,,,,,,
434,,DRAFT,Loviisa,Lovisa,Loviisa,,,,,,,,,
435,,DRAFT,Luhanka,Luhanka,Luhanka,,,,,,,,,
436,,DRAFT,Lumijoki,Lumijoki,Lumijoki,,,,,,,,,
438,,DRAFT,Lumparland,Lumparland,Lumparland,,,,,,,,,
440,,DRAFT,Luoto,Larsmo,Larsmo,,,,,,,,,
441,,DRAFT,Luumäki,Luumäki,Luumäki,,,,,,,,,
444,,DRAFT,Lohja,Lojo,Lohja,,,,,,,,,
445,,DRAFT,Parainen,Pargas,Pargas,,,,,,,,,
475,,DRAFT,Maalahti,Malax,Malax,,,,,,,,,
478,,DRAFT,Maarianhamina,Mariehamn,Mariehamn,,,,,,,,,
480,,DRAFT,Marttila,Marttila,Marttila,,,,,,,,,
481,,DRAFT,Masku,Masku,Masku,,,,,,,,,
483,,DRAFT,Merijärvi,Merijärvi,Merijärvi,,,,,,,,,
484,,DRAFT,Merikarvia,Sastmola,Merikarvia,,,,,,,,,
489,,DRAFT,Miehikkälä,Miehikkälä,Miehikkälä,,,,,,,,,
491,,DRAFT,Mikkeli,St Michel,Mikkeli,,,,,,,,,
494,,DRAFT,Muhos,Muhos,Muhos,,,,,,,,,
495,,DRAFT,Multia,Multia,Multia,,,,,,,,,
498,,DRAFT,Muonio,Muonio,Muonio,,,,,,,,,
499,,DRAFT,Mustasaari,Korsholm,Korsholm,,,,,,,,,
500,,DRAFT,Muurame,Muurame,Muurame,,,,,,,,,
503,,DRAFT,Mynämäki,Mynämäki,Mynämäki,,,,,,,,,
504,,DRAFT,Myrskylä,Mörskom,Myrskylä,,,,,,,,,
505,,DRAFT,Mäntsälä,Mäntsälä,Mäntsälä,,,,,,,,,
507,,DRAFT,Mäntyharju,Mäntyharju,Mäntyharju,,,,,,,,,
508,,DRAFT,Mänttä-Vilppula,Mänttä-Vilppula,Mänttä-Vilppula,,,,,,,,,
529,,DRAFT,Naantali,Nådendal,Naantali,,,,,,,,,
531,,DRAFT,Nakkila,Nakkila,Nakkila,,,,,,,,,
535,,DRAFT,Nivala,Nivala,Nivala,,,,,,,,,
536,,DRAFT,Nokia,Nokia,Nokia,,,,,,,,,
538,,DRAFT,Nousiainen,Nousis,Nousiainen,,,,,,,,,
541,,DRAFT,Nurmes,Nurmes,Nurmes,,,,,,,,,
543,,DRAFT,Nurmijärvi,Nurmijärvi,Nurmijärvi,,,,,,,,,
545,,DRAFT,Närpiö,Närpes,Närpes,,,,,,,,,
560,,DRAFT,Orimattila,Orimattila,Orimattila,,,,,,,,,
561,,DRAFT,Oripää,Oripää,Oripää,,,,,,,,,
562,,DRAFT,Orivesi,Orivesi,Orivesi,,,,,,,,,
563,,DRAFT,Oulainen,Oulainen,Oulainen,,,,,,,,,
564,,DRAFT,Oulu,Uleåborg,Oulu,,,,,,,,,
576,,DRAFT,Padasjoki,Padasjoki,Padasjoki,,,,,,,,,
577,,DRAFT,Paimio,Pemar,Paimio,,,,,,,,,
578,,DRAFT,Paltamo,Paltamo,Paltamo,,,,,,,,,
580,,DRAFT,Parikkala,Parikkala,Parikkala,,,,,,,,,
581,,DRAFT,Parkano,Parkano,Parkano,,,,,,,,,
583,,DRAFT,Pelkosenniemi,Pelkosenniemi,Pelkosenniemi,,,,,,,,,
584,,DRAFT,Perho,Perho,Perho,,,,,,,,,
588,,DRAFT,Pertunmaa,Pertunmaa,Pertunmaa,,,,,,,,,
592,,DRAFT,Petäjävesi,Petäjävesi,Petäjävesi,,,,,,,,,
593,,DRAFT,Pieksämäki,Pieksämäki,Pieksämäki,,,,,,,,,
595,,DRAFT,Pielavesi,Pielavesi,Pielavesi,,,,,,,,,
598,,DRAFT,Pietarsaari,Jakobstad,Jakobstad,,,,,,,,,
599,,DRAFT,Pedersören kunta,Pedersöre,Pedersöre,,,,,,,,,
601,,DRAFT,Pihtipudas,Pihtipudas,Pihtipudas,,,,,,,,,
604,,DRAFT,Pirkkala,Birkala,Pirkkala,,,,,,,,,
