CODEVALUE,ID,STATUS,HIERARCHYLEVEL,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DEFINITION_FI,DEFINITION_SV,DEFINITION_EN,DESCRIPTION_FI,DESCRIPTION_SV,DESCRIPTION_EN,SHORTNAME,STARTDATE,ENDDATE
non,,INVALID,,Old Norse,muinaisnorja,,,,,,,,,,
nov,,INVALID,,Novial,novial,,,,,,,,,,
nqo,,INVALID,,N’Ko,n’ko,,,,,,,,,,
nr,,INVALID,,South Ndebele,etelä-ndebele,,,,,,,,,,
nso,,INVALID,,Northern Sotho,pohjoissotho,,,,,,,,,,
nus,,INVALID,,Nuer,nuer,,,,,,,,,,
nv,,INVALID,,Navajo,navajo,,,,,,,,,,
nwc,,INVALID,,Classical Newari,klassinen newari,,,,,,,,,,
ny,,INVALID,,Nyanja,njandža,,,,,,,,,,
nym,,INVALID,,Nyamwezi,nyamwezi,,,,,,,,,,
nyn,,INVALID,,Nyankole,nyankole,,,,,,,,,,
nyo,,INVALID,,Nyoro,nyoro,,,,,,,,,,
nzi,,INVALID,,Nzima,nzima,,,,,,,,,,
oc,,INVALID,,Occitan,oksitaani,,,,,,,,,,
oj,,INVALID,,Ojibwa,odžibwa,,,,,,,,,,
om,,INVALID,,Oromo,oromo,,,,,,,,,,
or,,INVALID,,Odia,orija,,,,,,,,,,
os,,INVALID,,Ossetic,osseetti,,,,,,,,,,
osa,,INVALID,,Osage,osage,,,,,,,,,,
ota,,INVALID,,Ottoman Turkish,osmani,,,,,,,,,,
pa,,INVALID,,Punjabi,pandžabi,,,,,,,,,,
pag,,INVALID,,Pangasinan,pangasinan,,,,,,,,,,
pal,,INVALID,,Pahlavi,pahlavi,,,,,,,,,,
pam,,INVALID,,Pampanga,pampanga,,,,,,,,,,
pap,,INVALID,,Papiamento,papiamentu,,,,,,,,,,
pau,,INVALID,,Palauan,palau,,,,,,,,,,
pcd,,INVALID,,Picard,picardi,,,,,,,,,,
pdc,,INVALID,,Pennsylvania German,pennsylvaniansaksa,,,,,,,,,,
pdt,,INVALID,,Plautdietsch,plautdietsch,,,,,,,,,,
peo,,INVALID,,Old Persian,muinaispersia,,,,,,,,,,
pfl,,INVALID,,Palatine German,pfaltsi,,,,,,,,,,
phn,,INVALID,,Phoenician,foinikia,,,,,,,,,,
pi,,INVALID,,Pali,paali,,,,,,,,,,
pl,,INVALID,,Polish,puola,,,,,,,,,,
pms,,INVALID,,Piedmontese,piemonte,,,,,,,,,,
pnt,,INVALID,,Pontic,pontoksenkreikka,,,,,,,,,,
pon,,INVALID,,Pohnpeian,pohnpei,,,,,,,,,,
prg,,INVALID,,Prussian,muinaispreussi,,,,,,,,,,
pro,,INVALID,,Old Provençal,muinaisprovensaali,,,,,,,,,,
ps,,INVALID,,Pashto,paštu,,,,,,,,,,
pt,,INVALID,,Portuguese,portugali,,,,,,,,,,
pt_BR,,INVALID,,Brazilian Portuguese,brasilianportugali,,,,,,,,,,
pt_PT,,INVALID,,European Portuguese,euroopanportugali,,,,,,,,,,
qu,,INVALID,,Quechua,ketšua,,,,,,,,,,
quc,,INVALID,,Kʼicheʼ,kʼicheʼ,,,,,,,,,,
qug,,INVALID,,Chimborazo Highland Quichua,chimborazonylänköketšua,,,,,,,,,,
raj,,INVALID,,Rajasthani,radžastani,,,,,,,,,,
rap,,INVALID,,Rapanui,rapanui,,,,,,,,,,
rar,,INVALID,,Rarotongan,rarotonga,,,,,,,,,,
rgn,,INVALID,,Romagnol,romagnoli,,,,,,,,,,
rif,,INVALID,,Riffian,tarifit,,,,,,,,,,
rm,,INVALID,,Romansh,retoromaani,,,,,,,,,,
rn,,INVALID,,Rundi,rundi,,,,,,,,,,
ro,,INVALID,,Romanian,romania,,,,,,,,,,
ro_MD,,INVALID,,Moldavian,moldova,,,,,,,,,,
rof,,INVALID,,Rombo,rombo,,,,,,,,,,
