CODEVALUE,ID,STATUS,HIERARCHYLEVEL,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DEFINITION_FI,DEFINITION_SV,DEFINITION_EN,DESCRIPTION_FI,DESCRIPTION_SV,DESCRIPTION_EN,SHORTNAME,STARTDATE,ENDDATE
ca,,INVALID,,Catalan,katalaani,,,,,,,,,,
cad,,INVALID,,Caddo,caddo,,,,,,,,,,
car,,INVALID,,Carib,karibi,,,,,,,,,,
cay,,INVALID,,Cayuga,cayuga,,,,,,,,,,
cch,,INVALID,,Atsam,atsam,,,,,,,,,,
ce,,INVALID,,Chechen,tšetšeeni,,,,,,,,,,
ceb,,INVALID,,Cebuano,cebuano,,,,,,,,,,
cgg,,INVALID,,Chiga,kiga,,,,,,,,,,
ch,,INVALID,,Chamorro,tšamorro,,,,,,,,,,
chb,,INVALID,,Chibcha,tšibtša,,,,,,,,,,
chg,,INVALID,,Chagatai,tšagatai,,,,,,,,,,
chk,,INVALID,,Chuukese,chuuk,,,,,,,,,,
chm,,INVALID,,Mari,mari,,,,,,,,,,
chn,,INVALID,,Chinook Jargon,chinook-jargon,,,,,,,,,,
cho,,INVALID,,Choctaw,choctaw,,,,,,,,,,
chp,,INVALID,,Chipewyan,chipewyan,,,,,,,,,,
chr,,INVALID,,Cherokee,cherokee,,,,,,,,,,
chy,,INVALID,,Cheyenne,cheyenne,,,,,,,,,,
ckb,,INVALID,,Central Kurdish,sorani,,,,,,,,,,
co,,INVALID,,Corsican,korsika,,,,,,,,,,
cop,,INVALID,,Coptic,kopti,,,,,,,,,,
cps,,INVALID,,Capiznon,capiznon,,,,,,,,,,
cr,,INVALID,,Cree,cree,,,,,,,,,,
crh,,INVALID,,Crimean Turkish,krimintataari,,,,,,,,,,
crh-secondary,,INVALID,,Crimean Turkish,kriminturkki,,,,,,,,,,
cs,,INVALID,,Czech,tšekki,,,,,,,,,,
csb,,INVALID,,Kashubian,kašubi,,,,,,,,,,
cu,,INVALID,,Church Slavic,kirkkoslaavi,,,,,,,,,,
cv,,INVALID,,Chuvash,tšuvassi,,,,,,,,,,
cy,,INVALID,,Welsh,kymri,,,,,,,,,,
da,,INVALID,,Danish,tanska,,,,,,,,,,
dak,,INVALID,,Dakota,dakota,,,,,,,,,,
dar,,INVALID,,Dargwa,dargi,,,,,,,,,,
dav,,INVALID,,Taita,taita,,,,,,,,,,
de,,INVALID,,German,saksa,,,,,,,,,,
de_AT,,INVALID,,Austrian German,itävallansaksa,,,,,,,,,,
de_CH,,INVALID,,Swiss High German,sveitsinyläsaksa,,,,,,,,,,
del,,INVALID,,Delaware,delaware,,,,,,,,,,
den,,INVALID,,Slave,slevi,,,,,,,,,,
dgr,,INVALID,,Dogrib,dogrib,,,,,,,,,,
din,,INVALID,,Dinka,dinka,,,,,,,,,,
dje,,INVALID,,Zarma,djerma,,,,,,,,,,
doi,,INVALID,,Dogri,dogri,,,,,,,,,,
dsb,,INVALID,,Lower Sorbian,alasorbi,,,,,,,,,,
dtp,,INVALID,,Central Dusun,dusun,,,,,,,,,,
dua,,INVALID,,Duala,duala,,,,,,,,,,
dum,,INVALID,,Middle Dutch,keskihollanti,,,,,,,,,,
dv,,INVALID,,Divehi,divehi,,,,,,,,,,
dyo,,INVALID,,Jola-Fonyi,jola-fonyi,,,,,,,,,,
dyu,,INVALID,,Dyula,djula,,,,,,,,,,
dz,,INVALID,,Dzongkha,dzongkha,,,,,,,,,,
dzg,,INVALID,,Dazaga,dazaga,,,,,,,,,,
ebu,,INVALID,,Embu,embu,,,,,,,,,,
ee,,INVALID,,Ewe,ewe,,,,,,,,,,
efi,,INVALID,,Efik,efik,,,,,,,,,,
egl,,INVALID,,Emilian,emilia,,,,,,,,,,
egy,,INVALID,,Ancient Egyptian,muinaisegypti,,,,,,,,,,
eka,,INVALID,,Ekajuk,ekajuk,,,,,,,,,,
el,,INVALID,,Greek,kreikka,,,,,,,,,,
elx,,INVALID,,Elamite,elami,,,,,,,,,,
en,,INVALID,,English,englanti,,,,,,,,,,
en_AU,,INVALID,,Australian English,australianenglanti,,,,,,,,,,
en_CA,,INVALID,,Canadian English,kanadanenglanti,,,,,,,,,,
en_GB,,INVALID,,British English,britannianenglanti,,,,,,,,,,
en_GB-short,,INVALID,,UK English,englanti (Britannia),,,,,,,,,,
en_US,,INVALID,,American English,amerikanenglanti,,,,,,,,,,
en_US-short,,INVALID,,US English,englanti (USA),,,,,,,,,,
enm,,INVALID,,Middle English,keskienglanti,,,,,,,,,,
eo,,INVALID,,Esperanto,esperanto,,,,,,,,,,
es,,INVALID,,Spanish,espanja,,,,,,,,,,
es_419,,INVALID,,Latin American Spanish,amerikanespanja,,,,,,,,,,
es_ES,,INVALID,,European Spanish,euroopanespanja,,,,,,,,,,
es_MX,,INVALID,,Mexican Spanish,meksikonespanja,,,,,,,,,,
esu,,INVALID,,Central Yupik,alaskanjupik,,,,,,,,,,
et,,INVALID,,Estonian,viro,,,,,,,,,,
eu,,INVALID,,Basque,baski,,,,,,,,,,
ewo,,INVALID,,Ewondo,ewondo,,,,,,,,,,
ext,,INVALID,,Extremaduran,extremadura,,,,,,,,,,
fa,,INVALID,,Persian,farsi,,,,,,,,,,
fan,,INVALID,,Fang,fang,,,,,,,,,,
fa-secondary,,INVALID,,Persian,persia,,,,,,,,,,
fat,,INVALID,,Fanti,fanti,,,,,,,,,,
ff,,INVALID,,Fulah,fulani,,,,,,,,,,
fi,,INVALID,,Finnish,suomi,,,,,,,,,,
fil,,INVALID,,Filipino,filipino,,,,,,,,,,
fit,,INVALID,,Tornedalen Finnish,meänkieli,,,,,,,,,,
fj,,INVALID,,Fijian,fidži,,,,,,,,,,
fo,,INVALID,,Faroese,fääri,,,,,,,,,,
fon,,INVALID,,Fon,fon,,,,,,,,,,
fr,,INVALID,,French,ranska,,,,,,,,,,
fr_CA,,INVALID,,Canadian French,kanadanranska,,,,,,,,,,
fr_CH,,INVALID,,Swiss French,sveitsinranska,,,,,,,,,,
frc,,INVALID,,Cajun French,cajun,,,,,,,,,,
frm,,INVALID,,Middle French,keskiranska,,,,,,,,,,
fro,,INVALID,,Old French,muinaisranska,,,,,,,,,,
frp,,INVALID,,Arpitan,arpitaani,,,,,,,,,,
frr,,INVALID,,Northern Frisian,pohjoisfriisi,,,,,,,,,,
frs,,INVALID,,Eastern Frisian,itäfriisi,,,,,,,,,,
fur,,INVALID,,Friulian,friuli,,,,,,,,,,
fy,,INVALID,,Western Frisian,länsifriisi,,,,,,,,,,
ga,,INVALID,,Irish,iiri,,,,,,,,,,
gaa,,INVALID,,Ga,ga,,,,,,,,,,
gag,,INVALID,,Gagauz,gagauzi,,,,,,,,,,
gan,,INVALID,,Gan Chinese,gan-kiina,,,,,,,,,,
gay,,INVALID,,Gayo,gajo,,,,,,,,,,
gba,,INVALID,,Gbaya,gbaja,,,,,,,,,,
gbz,,INVALID,,Zoroastrian Dari,zoroastrialaisdari,,,,,,,,,,
gd,,INVALID,,Scottish Gaelic,gaeli,,,,,,,,,,
gez,,INVALID,,Geez,ge’ez,,,,,,,,,,
gil,,INVALID,,Gilbertese,kiribati,,,,,,,,,,
gl,,INVALID,,Galician,galicia,,,,,,,,,,
glk,,INVALID,,Gilaki,gilaki,,,,,,,,,,
gmh,,INVALID,,Middle High German,keskiyläsaksa,,,,,,,,,,
gn,,INVALID,,Guarani,guarani,,,,,,,,,,
goh,,INVALID,,Old High German,muinaisyläsaksa,,,,,,,,,,
gom,,INVALID,,Goan Konkani,goankonkani,,,,,,,,,,
gon,,INVALID,,Gondi,gondi,,,,,,,,,,
gor,,INVALID,,Gorontalo,gorontalo,,,,,,,,,,
got,,INVALID,,Gothic,gootti,,,,,,,,,,
grb,,INVALID,,Grebo,grebo,,,,,,,,,,
grc,,INVALID,,Ancient Greek,muinaiskreikka,,,,,,,,,,
gsw,,INVALID,,Swiss German,sveitsinsaksa,,,,,,,,,,
gu,,INVALID,,Gujarati,gudžarati,,,,,,,,,,
guc,,INVALID,,Wayuu,wayuu,,,,,,,,,,
gur,,INVALID,,Frafra,frafra,,,,,,,,,,
guz,,INVALID,,Gusii,gusii,,,,,,,,,,
gv,,INVALID,,Manx,manksi,,,,,,,,,,
gwi,,INVALID,,Gwichʼin,gwitšin,,,,,,,,,,
ha,,INVALID,,Hausa,hausa,,,,,,,,,,
hai,,INVALID,,Haida,haida,,,,,,,,,,
hak,,INVALID,,Hakka Chinese,hakka-kiina,,,,,,,,,,
haw,,INVALID,,Hawaiian,havaiji,,,,,,,,,,
he,,INVALID,,Hebrew,heprea,,,,,,,,,,
hi,,INVALID,,Hindi,hindi,,,,,,,,,,
hif,,INVALID,,Fiji Hindi,fidžinhindi,,,,,,,,,,
hil,,INVALID,,Hiligaynon,hiligaino,,,,,,,,,,
hit,,INVALID,,Hittite,heetti,,,,,,,,,,
hmn,,INVALID,,Hmong,hmong,,,,,,,,,,
ho,,INVALID,,Hiri Motu,hiri-motu,,,,,,,,,,
hr,,INVALID,,Croatian,kroatia,,,,,,,,,,
hsb,,INVALID,,Upper Sorbian,yläsorbi,,,,,,,,,,
hsn,,INVALID,,Xiang Chinese,xiang-kiina,,,,,,,,,,
ht,,INVALID,,Haitian Creole,haiti,,,,,,,,,,
hu,,INVALID,,Hungarian,unkari,,,,,,,,,,
hup,,INVALID,,Hupa,hupa,,,,,,,,,,
hy,,INVALID,,Armenian,armenia,,,,,,,,,,
hz,,INVALID,,Herero,herero,,,,,,,,,,
ia,,INVALID,,Interlingua,interlingua,,,,,,,,,,
iba,,INVALID,,Iban,iban,,,,,,,,,,
ibb,,INVALID,,Ibibio,ibibio,,,,,,,,,,
id,,INVALID,,Indonesian,indonesia,,,,,,,,,,
ie,,INVALID,,Interlingue,interlingue,,,,,,,,,,
ig,,INVALID,,Igbo,igbo,,,,,,,,,,
ii,,INVALID,,Sichuan Yi,sichuanin-yi,,,,,,,,,,
ik,,INVALID,,Inupiaq,inupiaq,,,,,,,,,,
ilo,,INVALID,,Iloko,iloko,,,,,,,,,,
inh,,INVALID,,Ingush,inguuši,,,,,,,,,,
io,,INVALID,,Ido,ido,,,,,,,,,,
is,,INVALID,,Icelandic,islanti,,,,,,,,,,
it,,INVALID,,Italian,italia,,,,,,,,,,
iu,,INVALID,,Inuktitut,inuktitut,,,,,,,,,,
izh,,INVALID,,Ingrian,inkeroinen,,,,,,,,,,
ja,,INVALID,,Japanese,japani,,,,,,,,,,
jam,,INVALID,,Jamaican Creole English,jamaikankreolienglanti,,,,,,,,,,
jbo,,INVALID,,Lojban,lojban,,,,,,,,,,
jgo,,INVALID,,Ngomba,ngomba,,,,,,,,,,
jmc,,INVALID,,Machame,machame,,,,,,,,,,
jpr,,INVALID,,Judeo-Persian,juutalaispersia,,,,,,,,,,
jrb,,INVALID,,Judeo-Arabic,juutalaisarabia,,,,,,,,,,
jut,,INVALID,,Jutish,juutti,,,,,,,,,,
jv,,INVALID,,Javanese,jaava,,,,,,,,,,
ka,,INVALID,,Georgian,georgia,,,,,,,,,,
kaa,,INVALID,,Kara-Kalpak,karakalpakki,,,,,,,,,,
kab,,INVALID,,Kabyle,kabyyli,,,,,,,,,,
kac,,INVALID,,Kachin,katšin,,,,,,,,,,
kaj,,INVALID,,Jju,jju,,,,,,,,,,
kam,,INVALID,,Kamba,kamba,,,,,,,,,,
kaw,,INVALID,,Kawi,kavi,,,,,,,,,,
kbd,,INVALID,,Kabardian,kabardi,,,,,,,,,,
kbl,,INVALID,,Kanembu,kanembu,,,,,,,,,,
kcg,,INVALID,,Tyap,tyap,,,,,,,,,,
kde,,INVALID,,Makonde,makonde,,,,,,,,,,
kea,,INVALID,,Kabuverdianu,kapverdenkreoli,,,,,,,,,,
ken,,INVALID,,Kenyang,kenyang,,,,,,,,,,
kfo,,INVALID,,Koro,norsunluurannikonkoro,,,,,,,,,,
kg,,INVALID,,Kongo,kongo,,,,,,,,,,
kgp,,INVALID,,Kaingang,kaingang,,,,,,,,,,
kha,,INVALID,,Khasi,khasi,,,,,,,,,,
kho,,INVALID,,Khotanese,khotani,,,,,,,,,,
khq,,INVALID,,Koyra Chiini,koyra chiini,,,,,,,,,,
khw,,INVALID,,Khowar,khowar,,,,,,,,,,
ki,,INVALID,,Kikuyu,kikuju,,,,,,,,,,
kiu,,INVALID,,Kirmanjki,kirmanjki,,,,,,,,,,
kj,,INVALID,,Kuanyama,kuanjama,,,,,,,,,,
kk,,INVALID,,Kazakh,kazakki,,,,,,,,,,
kkj,,INVALID,,Kako,kako,,,,,,,,,,
kl,,INVALID,,Kalaallisut,kalaallisut,,,,,,,,,,
kln,,INVALID,,Kalenjin,kalenjin,,,,,,,,,,
kl-secondary,,INVALID,,Kalaallisut,grönlanti,,,,,,,,,,
km,,INVALID,,Khmer,khmer,,,,,,,,,,
kmb,,INVALID,,Kimbundu,kimbundu,,,,,,,,,,
kn,,INVALID,,Kannada,kannada,,,,,,,,,,
ko,,INVALID,,Korean,korea,,,,,,,,,,
koi,,INVALID,,Komi-Permyak,komipermjakki,,,,,,,,,,
kok,,INVALID,,Konkani,konkani,,,,,,,,,,
kos,,INVALID,,Kosraean,kosrae,,,,,,,,,,
kpe,,INVALID,,Kpelle,kpelle,,,,,,,,,,
kr,,INVALID,,Kanuri,kanuri,,,,,,,,,,
krc,,INVALID,,Karachay-Balkar,karatšai-balkaari,,,,,,,,,,
kri,,INVALID,,Krio,krio,,,,,,,,,,
krj,,INVALID,,Kinaray-a,kinaray-a,,,,,,,,,,
krl,,INVALID,,Karelian,karjala,,,,,,,,,,
kru,,INVALID,,Kurukh,kurukh,,,,,,,,,,
ks,,INVALID,,Kashmiri,kašmiri,,,,,,,,,,
ksb,,INVALID,,Shambala,shambala,,,,,,,,,,
ksf,,INVALID,,Bafia,bafia,,,,,,,,,,
ksh,,INVALID,,Colognian,kölsch,,,,,,,,,,
ku,,INVALID,,Kurdish,kurdi,,,,,,,,,,
