CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SE,PREFLABEL_EN,DESCRIPTION_FI,DESCRIPTION_SE,DESCRIPTION_EN,DEFINITION_FI,DEFINITION_SE,DEFINITION_EN,SHORTNAME,STARTDATE,ENDDATE
INVALID,,VALID,Korvattu,Ersatt,Invalid,Tietokohde on korvattu toisella tietokohteella eikä sitä suositella enää käytettäväksi.,Objektet har ersatts av annat objekt och är inte längre rekommenderat för användning. ,A decision has been made that a previously valid register item contains a substantial error and is invalid, and will normally have been replaced by a corrected item.,,,,,,
SUBMITTED,,VALID,Odottaa hyväksyntää,Skickat,Submitted,Tietokohde on tallennettu rekisteriin, mutta hyväksyvä elin ei ole vielä hyväksynyt sitä.,Objektet har lagts till i registret, men beslutande instans har inte accepterat förslaget att lägga till det. ,The item has been entered into the register, but the control body has not accepted the proposal to add it.,,,,,,
SUPERSEDED,,VALID,Poistettu,Inaktuell,Superseded,Tietokohdetta ei suositella enää käytettäväksi eikä sitä ole korvattu toisella tietokohteella.,Det är beslutat att objektet inte längre är rekommenderat för användning. Det har inte ersatts av annat objekt ,The item has been superseded by another item and is no longer recommended for use.,,,,,,
RETIRED,,VALID,Virheellinen,Ogiltigt ,Retired,Aiemmin hyväksytty tietokohde on todettu virheelliseksi. Yleensä tietokohde on korvattu korjatulla tietokohteella.  ,Det är beslutat att tidigare giltiga registerobjekt innehåller fel och är ogiltiga. Normalt skulle dessa vara ersatta med korrigerade objekt ,A decision has been made that the item is no longer recommended for use. It has not been superseded by another item.,,,,,,
VALID,,VALID,Voimassa oleva,Giltigt,Valid,Tietokohde on hyväksytty ja sitä suositellaan käytettäväksi eikä sitä ole korvattu tai poistettu. ,Objektet har accepterats, är rekommenderat för användning och är inte ersatt eller inaktuellt ,The item has been accepted, is recommended for use, and has not been superseded or retired.,,,,,,
DRAFT,,VALID,Luonnos,Utkast/skiss,Draft,Koodisto tai koodi on luonnos ja valmisteilla.,kuvaus puuttuu,kuvaus puuttuu,,,,,,,,
