CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,SHORTNAME,HIERARCHYLEVEL,STARTDATE,ENDDATE
0318,22aa273b-6082-448b-a2e9-40e103f6739f,VALID,"Sosiaali- ja käyttäytymistieteet, monialaiset koulutusohjelmat","Social- och beteendevetenskaper, branschövergripande utbildningsprogram",Inter-disciplinary programmes and qualifications involving social and behavioural sciences,,,2016-01-01,
032,4d2eef82-8644-4f4f-8336-049ac9527b80,VALID,Viestintä ja informaatiotieteet,Journalistik och information,Journalism and information,,,2016-01-01,
0321,59f6837c-a814-448c-9282-5e235902835e,VALID,Viestintätieteet,Mediavetenskap,Journalism and reporting,,,2016-01-01,
0322,c3f2177d-bc50-40b7-a405-cd4aa578e962,VALID,Kirjasto- ja informaatiotieteet,Biblioteks- och informationsvetenskap,"Library, information and archival studies",,,2016-01-01,
04,57f13b69-8624-4996-beb4-86668e34c61f,VALID,"Kauppa, hallinto ja oikeustieteet","Handel, administration och juridik","Business, administration and law",,,2016-01-01,
041,67f83927-075e-49c4-b0b7-13ab5d7f3dc6,VALID,Kauppa ja hallinto,Handel och administration,Business and administration,,,2016-01-01,
0410,f04cede7-6b75-4114-98bf-6b0ba21f7103,VALID,"Kauppa ja hallinto, yleiset koulutusohjelmat","Handel och administration, allmänna utbildningsprogram",Broad programmes and qualifications involving business and administration,,,2016-01-01,
0411,eb145f95-b7c9-464a-9e69-c16ebb3672e1,VALID,Kirjanpito ja verotus,Redovisning och beskattning,Accounting and taxation,,,2016-01-01,
0412,a6af1e7f-4ea3-4822-943c-5b9a609b4f94,VALID,"Rahoitus-, pankki- ja vakuutusala","Finansierings-, bank- och försäkringsområdet","Finance, banking and insurance",,,2016-01-01,
0413,5b65ccd9-83b7-45ec-ab86-aae8f62c3a72,VALID,Johto ja hallinto,Ledning och administration,Management and administration,,,2016-01-01,
0414,297851b8-eda5-474f-9397-cc18ff499bca,VALID,Markkinointi ja mainonta,Marknadsföring och reklam,Marketing and advertising,,,2016-01-01,
0415,577dafb8-f7e4-490f-bf23-f1159bbb8058,VALID,Sihteeri ja toimistotyö,Sekreterartjänster och kontorsarbete,Secretarial and office work,,,2016-01-01,
0416,3041e038-4977-468e-b15f-d9c5e777224b,VALID,Tukku ja vähittäiskauppa,Parti- och detaljhandel,Wholesale and retail sales,,,2016-01-01,
0418,d281c4c6-1580-45a9-865e-d80ccfd7b223,VALID,"Kauppa ja hallinto, monialaiset koulutusohjelmat","Handel och administration, branschövergripande utbildningsprogram",Inter-disciplinary programmes and qualifications involving business and administration,,,2016-01-01,
042,3ddf4828-9f94-4d5f-b9f9-96898e65efef,VALID,Oikeustieteet,Juridik,Law,,,2016-01-01,
0421,1c3cdb4c-c854-4042-b522-c915a7f57d82,VALID,Oikeustieteet,Juridik,Law,,,2016-01-01,
05,a9adedd8-2b8c-40a6-8f25-d018a28d4fe2,VALID,Luonnontieteet,De naturvetenskapliga områdena,"Natural sciences, mathematics and statistics",,,2016-01-01,
050,230a6226-3a74-4533-930b-96abf18ed763,VALID,"Luonnontieteet, yleiset koulutusohjelmat","Naturvetenskaper, allmänna utbildningsprogram","Broad programmes and qualifications involving natural sciences, mathematics and statistics",,,2016-01-01,
0500,b97be427-372a-4048-b4b4-7184b384ce96,VALID,"Luonnontieteet, yleiset koulutusohjelmat","Naturvetenskaper, allmänna utbildningsprogram","Broad programmes and qualifications involving natural sciences, mathematics and statistics",,,2016-01-01,
051,85a51a46-3d83-4561-bf9d-29e0c012e2c2,VALID,Biologia ja biotieteet,Biologi och biovetenskaper,Biological and related sciences,,,2016-01-01,
0511,0e95910b-285e-4bfd-9993-b26ed773283a,VALID,Biologia,Biologi,Biology,,,2016-01-01,
0512,f43d71ad-9e7a-4cfe-aad5-ef34d0352f68,VALID,Biokemia,Biokemi,Biochemistry,,,2016-01-01,
052,d6c0f11d-2e22-4b43-9167-15e5ad005212,VALID,Ympäristöalat,Miljöområdena,Environment,,,2016-01-01,
0521,7eb632ec-9ee0-4b93-8ce8-2e9587eb63f4,VALID,Ympäristötieteet,Miljövetenskap,Environmental sciences,,,2016-01-01,
0522,2f5a96af-4799-4c6e-8b05-51662d06301c,VALID,Elinympäristöt ja luonto,Livsmiljö och natur,Natural environments and wildlife,,,2016-01-01,
0528,61e346f8-fd74-4561-b11c-bfe80cd70546,VALID,"Ympäristöalat, monialaiset koulutusohjelmat","Miljöområdena, branschövergripande utbildningsprogram",Inter-disciplinary programmes and qualifications involving enviroment,,,2016-01-01,
053,e8e93d7d-ac64-43b6-ae40-9d7600d60618,VALID,"Fysikaaliset tieteet,kemia ja geotieteet","Fysikaliska vetenskaper, kemi och geovetenskaper",Physical sciences,,,2016-01-01,
0531,e98bb13b-a012-497a-911d-22349b5d93b3,VALID,Kemia,Kemi,Chemistry,,,2016-01-01,
0532,3309451c-28f9-4978-9d99-42710da61c92,VALID,Geotieteet,Geovetenskaper,Earth sciences,,,2016-01-01,
0533,479b1c03-d7de-4637-8ce3-973da5feea62,VALID,Fysiikka,Fysik,Physics,,,2016-01-01,
054,4b785d0b-26d8-4ddc-a02f-e4ad0ebc55eb,VALID,Matematiikka ja tilastotiede,Matematik och statistik,Mathematics and statistics,,,2016-01-01,
0541,217a13ca-34e0-42c6-ad13-d381a18ab3f8,VALID,Matematiikka,Matematik,Mathematics,,,2016-01-01,
0542,3fe35cbc-28f7-4cdd-9990-1b9dbd0efb19,VALID,Tilastotiede,Statistik,Statistics,,,2016-01-01,
06,c3360f5c-3ce4-4278-9ff3-97cf27508a90,VALID,Tietojenkäsittely ja tietoliikenne (ICT),Databehandling och kommunikation (IKT),Information and Communication Technologies (ICT),,,2016-01-01,
061,afae1c2b-7171-4925-a227-522e38a98000,VALID,Tietojenkäsittely ja tietoliikenne (ICT),Databehandling och kommunikation (IKT),Information and Communication Technologies (ICT),,,2016-01-01,
0618,72a98ea7-bebf-412f-a742-fa48f94e3d21,VALID,"Tietojenkäsittely- ja tietoliikenne ICT), monialaiset koulutusohjelmat","Databehandling och kommunikation (IKT), branschövergripande utbildningsprogram",Inter-disciplinary programmes and qualifications involving information and communication technologies (ICTs),,,2016-01-01,
07,95d2d869-685d-4eb6-909e-40d77e0628ad,VALID,Tekniikan alat,De tekniska områdena,"Engineering, manufacturing and construction",,,2016-01-01,
071,4763a43f-1ae2-424e-9c4f-03407ed5cc6a,VALID,"Kone-, prosessi-, energia- ja sähkötekniikka","Maskin-, process-, energi- och elteknik",Engineering and engineering trades,,,2016-01-01,
0710,7be7dbcf-7610-439e-858e-45379f73f5a3,VALID,"Kone-, energia- ja sähkötekniikka, yleiset koulutusohjelmat","Maskin-, energi- och elteknik, allmänna utbildningsprogram",Broad programmes and qualifications involving engineering and engineering trades,,,2016-01-01,
0711,889cef16-9c95-44b5-a56e-954a6d6aefc1,VALID,Kemian tekniikka ja prosessit,Kemiteknik och -processer,Chemical engineering and processes,,,2016-01-01,
0712,7c3f0873-d709-4527-b7f9-b88dd4973d5b,VALID,Ympäristönsuojeluteknologia,Miljövårdsteknologi,Environmental protection technology,,,2016-01-01,
0713,4ca9c07c-8685-49fc-acca-d06fcd2a6397,VALID,Sähkö ja energia,El och energi,Electricity and energy,,,2016-01-01,
0714,ac56078c-dc64-45d0-882e-68439abdbb56,VALID,Elektroniikka ja automatiikka,Elektronik och automatik,Electronics and automation,,,2016-01-01,
0715,8b340145-c63a-40c7-8b11-b02f09cb13ea,VALID,Mekaniikka ja metalliala,Maskin- och metallteknik,Mechanics and metal trades,,,2016-01-01,
0716,5320732b-4919-4a5c-b5ab-da0e6c2b3aa9,VALID,"Moottoriajoneuvo-, laiva- ja lentokonetekniikka","Fordons- och farkostteknik, branschövergripande utbildningsprogram","Motor vehicles, ships and aircraft",,,2016-01-01,
0718,a224b113-ca3d-4ce4-8560-a46ad024d549,VALID,"Kone-, energia- ja sähkötekniikka, monialaiset koulutusohjelmat","Maskin-, energi- och elteknik, branschövergripande utbildningsprogram",Inter-disciplinary programmes and qualifications involving engineering and engineering trades,,,2016-01-01,
072,45484278-8adb-4ae9-b042-bd62be17b6ca,VALID,Materiaali- ja prosessitekniikka,Material- och processteknik,Manufacturing and processing,,,2016-01-01,
0721,d90b1c4a-1500-4226-8550-92a21fcd32d0,VALID,Elintarvikeala,Livsmedelsområdet,Food processing,,,2016-01-01,
0722,85ecba27-a3b6-4125-935f-7c31bc4919ca,VALID,"Materiaalitekniikka (lasi, paperi, muovi ja puu)","Materialteknik (glas, papper, plast och trä)","Materials (glass, paper, plastic and wood)",,,2016-01-01,
