CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DEFINITION_FI,DEFINITION_SV,DEFINITION_EN,DESCRIPTION_FI,DESCRIPTION_SV,DESCRIPTION_EN,SHORTNAME,STARTDATE,ENDDATE
gag,,VALID,Gagauz,gagauzi,,,,,,,,,,
gan,,VALID,Gan Chinese,gan-kiina,,,,,,,,,,
gay,,VALID,Gayo,gajo,,,,,,,,,,
gba,,VALID,Gbaya,gbaja,,,,,,,,,,
gbz,,VALID,Zoroastrian Dari,zoroastrialaisdari,,,,,,,,,,
gd,,VALID,Scottish Gaelic,gaeli,,,,,,,,,,
gez,,VALID,Geez,ge’ez,,,,,,,,,,
gil,,VALID,Gilbertese,kiribati,,,,,,,,,,
gl,,VALID,Galician,galicia,,,,,,,,,,
glk,,VALID,Gilaki,gilaki,,,,,,,,,,
gmh,,VALID,Middle High German,keskiyläsaksa,,,,,,,,,,
gn,,VALID,Guarani,guarani,,,,,,,,,,
goh,,VALID,Old High German,muinaisyläsaksa,,,,,,,,,,
gom,,VALID,Goan Konkani,goankonkani,,,,,,,,,,
gon,,VALID,Gondi,gondi,,,,,,,,,,
gor,,VALID,Gorontalo,gorontalo,,,,,,,,,,
got,,VALID,Gothic,gootti,,,,,,,,,,
grb,,VALID,Grebo,grebo,,,,,,,,,,
grc,,VALID,Ancient Greek,muinaiskreikka,,,,,,,,,,
gsw,,VALID,Swiss German,sveitsinsaksa,,,,,,,,,,
gu,,VALID,Gujarati,gudžarati,,,,,,,,,,
guc,,VALID,Wayuu,wayuu,,,,,,,,,,
gur,,VALID,Frafra,frafra,,,,,,,,,,
guz,,VALID,Gusii,gusii,,,,,,,,,,
gv,,VALID,Manx,manksi,,,,,,,,,,
gwi,,VALID,Gwichʼin,gwitšin,,,,,,,,,,
ha,,VALID,Hausa,hausa,,,,,,,,,,
hai,,VALID,Haida,haida,,,,,,,,,,
hak,,VALID,Hakka Chinese,hakka-kiina,,,,,,,,,,
haw,,VALID,Hawaiian,havaiji,,,,,,,,,,
he,,VALID,Hebrew,heprea,,,,,,,,,,
hi,,VALID,Hindi,hindi,,,,,,,,,,
hif,,VALID,Fiji Hindi,fidžinhindi,,,,,,,,,,
hil,,VALID,Hiligaynon,hiligaino,,,,,,,,,,
hit,,VALID,Hittite,heetti,,,,,,,,,,
hmn,,VALID,Hmong,hmong,,,,,,,,,,
ho,,VALID,Hiri Motu,hiri-motu,,,,,,,,,,
hr,,VALID,Croatian,kroatia,,,,,,,,,,
hsb,,VALID,Upper Sorbian,yläsorbi,,,,,,,,,,
hsn,,VALID,Xiang Chinese,xiang-kiina,,,,,,,,,,
ht,,VALID,Haitian Creole,haiti,,,,,,,,,,
hu,,VALID,Hungarian,unkari,,,,,,,,,,
hup,,VALID,Hupa,hupa,,,,,,,,,,
hy,,VALID,Armenian,armenia,,,,,,,,,,
hz,,VALID,Herero,herero,,,,,,,,,,
ia,,VALID,Interlingua,interlingua,,,,,,,,,,
iba,,VALID,Iban,iban,,,,,,,,,,
ibb,,VALID,Ibibio,ibibio,,,,,,,,,,
