CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DEFINITION_FI,DEFINITION_SV,DEFINITION_EN,DESCRIPTION_FI,DESCRIPTION_SV,DESCRIPTION_EN,SHORTNAME,STARTDATE,ENDDATE
sv,,VALID,Swedish,ruotsi,,,,,,,,,,
sw,,VALID,Swahili,swahili,,,,,,,,,,
sw_CD,,VALID,Congo Swahili,kingwana,,,,,,,,,,
swb,,VALID,Comorian,komori,,,,,,,,,,
syc,,VALID,Classical Syriac,muinaissyyria,,,,,,,,,,
syr,,VALID,Syriac,syyria,,,,,,,,,,
szl,,VALID,Silesian,sleesia,,,,,,,,,,
ta,,VALID,Tamil,tamili,,,,,,,,,,
tcy,,VALID,Tulu,tulu,,,,,,,,,,
te,,VALID,Telugu,telugu,,,,,,,,,,
tem,,VALID,Timne,temne,,,,,,,,,,
teo,,VALID,Teso,teso,,,,,,,,,,
ter,,VALID,Tereno,tereno,,,,,,,,,,
tet,,VALID,Tetum,tetum,,,,,,,,,,
tg,,VALID,Tajik,tadžikki,,,,,,,,,,
th,,VALID,Thai,thai,,,,,,,,,,
ti,,VALID,Tigrinya,tigrinja,,,,,,,,,,
tig,,VALID,Tigre,tigre,,,,,,,,,,
tiv,,VALID,Tiv,tiv,,,,,,,,,,
tk,,VALID,Turkmen,turkmeeni,,,,,,,,,,
tkl,,VALID,Tokelau,tokelau,,,,,,,,,,
tkr,,VALID,Tsakhur,tsahuri,,,,,,,,,,
tl,,VALID,Tagalog,tagalog,,,,,,,,,,
tlh,,VALID,Klingon,klingon,,,,,,,,,,
tli,,VALID,Tlingit,tlingit,,,,,,,,,,
tly,,VALID,Talysh,tališi,,,,,,,,,,
tmh,,VALID,Tamashek,tamašek,,,,,,,,,,
tn,,VALID,Tswana,tswana,,,,,,,,,,
to,,VALID,Tongan,tonga,,,,,,,,,,
tog,,VALID,Nyasa Tonga,malawintonga,,,,,,,,,,
tpi,,VALID,Tok Pisin,tok-pisin,,,,,,,,,,
tr,,VALID,Turkish,turkki,,,,,,,,,,
tru,,VALID,Turoyo,turojo,,,,,,,,,,
trv,,VALID,Taroko,taroko,,,,,,,,,,
ts,,VALID,Tsonga,tsonga,,,,,,,,,,
tsd,,VALID,Tsakonian,tsakonia,,,,,,,,,,
tsi,,VALID,Tsimshian,tsimši,,,,,,,,,,
tt,,VALID,Tatar,tataari,,,,,,,,,,
ttt,,VALID,Muslim Tat,tati,,,,,,,,,,
tum,,VALID,Tumbuka,tumbuka,,,,,,,,,,
tw,,VALID,Twi,twi,,,,,,,,,,
tvl,,VALID,Tuvalu,tuvalu,,,,,,,,,,
twq,,VALID,Tasawaq,tasawaq,,,,,,,,,,
ty,,VALID,Tahitian,tahiti,,,,,,,,,,
tyv,,VALID,Tuvinian,tuva,,,,,,,,,,
tzm,,VALID,Central Atlas Tamazight,keskiatlaksentamazight,,,,,,,,,,
udm,,VALID,Udmurt,udmurtti,,,,,,,,,,
ug,,VALID,Uyghur,uiguuri,,,,,,,,,,
uga,,VALID,Ugaritic,ugarit,,,,,,,,,,
uk,,VALID,Ukrainian,ukraina,,,,,,,,,,
umb,,VALID,Umbundu,mbundu,,,,,,,,,,
ur,,VALID,Urdu,urdu,,,,,,,,,,
uz,,VALID,Uzbek,uzbekki,,,,,,,,,,
wa,,VALID,Walloon,valloni,,,,,,,,,,
wae,,VALID,Walser,walser,,,,,,,,,,
vai,,VALID,Vai,vai,,,,,,,,,,
wal,,VALID,Wolaytta,wolaitta,,,,,,,,,,
war,,VALID,Waray,waray,,,,,,,,,,
was,,VALID,Washo,washo,,,,,,,,,,
wbp,,VALID,Warlpiri,warlpiri,,,,,,,,,,
ve,,VALID,Venda,venda,,,,,,,,,,
vec,,VALID,Venetian,venetsia,,,,,,,,,,
vep,,VALID,Veps,vepsä,,,,,,,,,,
vi,,VALID,Vietnamese,vietnam,,,,,,,,,,
vls,,VALID,West Flemish,länsiflaami,,,,,,,,,,
vmf,,VALID,Main-Franconian,maininfrankki,,,,,,,,,,
vo,,VALID,Volapük,volapük,,,,,,,,,,
wo,,VALID,Wolof,wolof,,,,,,,,,,
vot,,VALID,Votic,vatja,,,,,,,,,,
vro,,VALID,Võro,võro,,,,,,,,,,
vun,,VALID,Vunjo,vunjo,,,,,,,,,,
wuu,,VALID,Wu Chinese,wu-kiina,,,,,,,,,,
xal,,VALID,Kalmyk,kalmukki,,,,,,,,,,
xh,,VALID,Xhosa,xhosa,,,,,,,,,,
xmf,,VALID,Mingrelian,mingreli,,,,,,,,,,
xog,,VALID,Soga,soga,,,,,,,,,,
yao,,VALID,Yao,jao,,,,,,,,,,
yap,,VALID,Yapese,japi,,,,,,,,,,
yav,,VALID,Yangben,yangben,,,,,,,,,,
ybb,,VALID,Yemba,yemba,,,,,,,,,,
yi,,VALID,Yiddish,jiddiš,,,,,,,,,,
yo,,VALID,Yoruba,joruba,,,,,,,,,,
yrl,,VALID,Nheengatu,ñeengatú,,,,,,,,,,
yue,,VALID,Cantonese,kantoninkiina,,,,,,,,,,
za,,VALID,Zhuang,zhuang,,,,,,,,,,
zap,,VALID,Zapotec,zapoteekki,,,,,,,,,,
zbl,,VALID,Blissymbols,blisskieli,,,,,,,,,,
zea,,VALID,Zeelandic,seelanti,,,,,,,,,,
zen,,VALID,Zenaga,zenaga,,,,,,,,,,
zgh,,VALID,Standard Moroccan Tamazight,vakioitu tamazight,,,,,,,,,,
zh,,VALID,Chinese,kiina,,,,,,,,,,
zh_Hans,,VALID,Simplified Chinese,yksinkertaistettu kiina,,,,,,,,,,
zh_Hant,,VALID,Traditional Chinese,perinteinen kiina,,,,,,,,,,
zu,,VALID,Zulu,zulu,,,,,,,,,,
zun,,VALID,Zuni,zuni,,,,,,,,,,
zxx,,VALID,No linguistic content,ei kielellistä sisältöä,,,,,,,,,,
zza,,VALID,Zaza,zaza,,,,,,,,,,
